"Date","Location","Distributed","Distributed_Janssen","Distributed_Moderna","Distributed_Pfizer","Distributed_Unk_Manuf","Dist_Per_100K","Administered","Administered_Janssen","Administered_Moderna","Administered_Pfizer","Administered_Unk_Manuf","Admin_Per_100K","Recip_Administered","Administered_Dose1_Recip","Administered_Dose1_Pop_Pct","Series_Complete_Yes","Series_Complete_Pop_Pct","Series_Complete_Janssen","Series_Complete_Moderna","Series_Complete_Pfizer","Series_Complete_Unk_Manuf","Additional_Doses","Additional_Doses_Vax_Pct","Additional_Doses_Moderna","Additional_Doses_Pfizer","Additional_Doses_Janssen","Additional_Doses_Unk_Manuf"
2020-12-15,"IL",47775,0,0,0,0,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-15,"MS",12675,0,0,0,0,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-15,"NC",20475,0,0,0,0,195,27,0,0,27,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-15,"AL",39000,0,0,0,0,795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-15,"HI",975,0,0,0,0,69,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-15,"CO",34125,0,0,0,0,593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-15,"MT",9750,0,0,0,0,912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-15,"KY",11700,0,0,0,0,262,38,0,0,38,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-15,"OK",33150,0,0,0,0,838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-15,"PA",19500,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-15,"IN",3900,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-15,"ID",2925,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-15,"NE",13650,0,0,0,0,706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
